experiment_name,job_id,width,depth,gain,lr,batch_size,max_epochs,seed,ra,rho_lambda,checkpoint_path
width_sweep,mnist_w20_d4_g1_lr0p05_bs8192_ep500_seed4,20,4,1.0,0.05,8192,500,4,0.09410244788619343,-0.8194002492753634,/gscratch/amath/zztu/CNN_code/mnist_ftle_3-20-2026/runs/jobs/mnist/mnist_w20_d4_g1_lr0p05_bs8192_ep500_seed4/checkpoints/best.pt
width_sweep,mnist_w50_d4_g1_lr0p05_bs8192_ep500_seed0,50,4,1.0,0.05,8192,500,0,0.07546417944387668,-0.7470314700870968,/gscratch/amath/zztu/CNN_code/mnist_ftle_3-20-2026/runs/jobs/mnist/mnist_w50_d4_g1_lr0p05_bs8192_ep500_seed0/checkpoints/best.pt
width_sweep,mnist_w50_d4_g1_lr0p05_bs8192_ep500_seed1,50,4,1.0,0.05,8192,500,1,0.012017569852358306,-0.7206052514175442,/gscratch/amath/zztu/CNN_code/mnist_ftle_3-20-2026/runs/jobs/mnist/mnist_w50_d4_g1_lr0p05_bs8192_ep500_seed1/checkpoints/best.pt
width_sweep,mnist_w50_d4_g1_lr0p05_bs8192_ep500_seed2,50,4,1.0,0.05,8192,500,2,0.0037349302617588776,-0.7087613880423812,/gscratch/amath/zztu/CNN_code/mnist_ftle_3-20-2026/runs/jobs/mnist/mnist_w50_d4_g1_lr0p05_bs8192_ep500_seed2/checkpoints/best.pt
width_sweep,mnist_w50_d4_g1_lr0p05_bs8192_ep500_seed3,50,4,1.0,0.05,8192,500,3,0.07058279093001193,-0.7259889841776644,/gscratch/amath/zztu/CNN_code/mnist_ftle_3-20-2026/runs/jobs/mnist/mnist_w50_d4_g1_lr0p05_bs8192_ep500_seed3/checkpoints/best.pt
width_sweep,mnist_w50_d4_g1_lr0p05_bs8192_ep500_seed4,50,4,1.0,0.05,8192,500,4,0.1337108220143242,-0.7337757826551878,/gscratch/amath/zztu/CNN_code/mnist_ftle_3-20-2026/runs/jobs/mnist/mnist_w50_d4_g1_lr0p05_bs8192_ep500_seed4/checkpoints/best.pt
width_sweep,mnist_w100_d4_g1_lr0p05_bs8192_ep500_seed0,100,4,1.0,0.05,8192,500,0,0.20843229702900087,-0.6511486501142205,/gscratch/amath/zztu/CNN_code/mnist_ftle_3-20-2026/runs/jobs/mnist/mnist_w100_d4_g1_lr0p05_bs8192_ep500_seed0/checkpoints/best.pt
width_sweep,mnist_w100_d4_g1_lr0p05_bs8192_ep500_seed1,100,4,1.0,0.05,8192,500,1,0.16509689143162573,-0.6506320739429864,/gscratch/amath/zztu/CNN_code/mnist_ftle_3-20-2026/runs/jobs/mnist/mnist_w100_d4_g1_lr0p05_bs8192_ep500_seed1/checkpoints/best.pt
width_sweep,mnist_w100_d4_g1_lr0p05_bs8192_ep500_seed2,100,4,1.0,0.05,8192,500,2,0.14604239655953474,-0.7035657106856581,/gscratch/amath/zztu/CNN_code/mnist_ftle_3-20-2026/runs/jobs/mnist/mnist_w100_d4_g1_lr0p05_bs8192_ep500_seed2/checkpoints/best.pt
width_sweep,mnist_w100_d4_g1_lr0p05_bs8192_ep500_seed3,100,4,1.0,0.05,8192,500,3,0.1465428092892478,-0.6603241601104382,/gscratch/amath/zztu/CNN_code/mnist_ftle_3-20-2026/runs/jobs/mnist/mnist_w100_d4_g1_lr0p05_bs8192_ep500_seed3/checkpoints/best.pt
width_sweep,mnist_w100_d4_g1_lr0p05_bs8192_ep500_seed4,100,4,1.0,0.05,8192,500,4,0.15462183495854764,-0.6848519591125729,/gscratch/amath/zztu/CNN_code/mnist_ftle_3-20-2026/runs/jobs/mnist/mnist_w100_d4_g1_lr0p05_bs8192_ep500_seed4/checkpoints/best.pt
