job_id,dataset,width,depth,gain,lr,batch_size,max_epochs,seed,train_state,eval_state,plots_state,final_train_acc,final_test_acc,best_test_acc,rho_all,rho_unsat,number_correct,number_eval_samples,updated_at
mnist_w20_d4_g1_lr0p05_bs8192_ep500_seed0,mnist,20,4,1.0,0.05,8192,500,0,done,done,done,0.9680333333333333,0.9547,0.9548,-0.8083373209425809,-0.8083373209425809,1886,2000,2026-04-01T06:32:34.807374+00:00
mnist_w20_d4_g1_lr0p05_bs8192_ep500_seed1,mnist,20,4,1.0,0.05,8192,500,1,done,done,done,0.9657333333333333,0.9543,0.9547,-0.7814399721609648,-0.7814399721609648,1882,2000,2026-04-01T06:32:34.859061+00:00
mnist_w20_d4_g1_lr0p05_bs8192_ep500_seed2,mnist,20,4,1.0,0.05,8192,500,2,done,done,done,0.9658333333333333,0.9524,0.9534,-0.7993293276431578,-0.7993293276431578,1886,2000,2026-04-01T06:32:34.936352+00:00
mnist_w20_d4_g1_lr0p05_bs8192_ep500_seed3,mnist,20,4,1.0,0.05,8192,500,3,done,done,done,0.9676333333333333,0.9556,0.9556,-0.8038806794610535,-0.8038806794610535,1890,2000,2026-04-01T06:32:35.004626+00:00
mnist_w20_d4_g1_lr0p05_bs8192_ep500_seed4,mnist,20,4,1.0,0.05,8192,500,4,done,done,done,0.96785,0.9601,0.9609,-0.8194002492753634,-0.8194002492753634,1892,2000,2026-04-01T06:32:35.092660+00:00
